Date,Adj Close,Close,High,Low,Open,Volume
03-06-20,2349.300049,2349.300049,2450,2330,2390,425477
04-06-20,2414.199951,2414.199951,2434,2311.300049,2362,363340
05-06-20,2499,2499,2524,2434.149902,2438,668802
08-06-20,2459.5,2459.5,2527,2414.199951,2520,322696
09-06-20,2390.100098,2390.100098,2468.800049,2370,2461,376318
10-06-20,2388.350098,2388.350098,2429.949951,2360,2400,215498
11-06-20,2406.5,2406.5,2422.800049,2365,2390,325839
12-06-20,2397.800049,2397.800049,2438,2312,2312,415404
15-06-20,2365.300049,2365.300049,2422,2337.050049,2373,354822
16-06-20,2403.550049,2403.550049,2434,2356.600098,2399,321260
17-06-20,2340.399902,2340.399902,2404,2325,2390,563622
18-06-20,2350.850098,2350.850098,2365,2320.300049,2331,199698
19-06-20,2363.149902,2363.149902,2399,2310,2372.699951,1479487
22-06-20,2350.399902,2350.399902,2399.399902,2340,2366,366255
23-06-20,2359.899902,2359.899902,2375,2340,2350.300049,175282
24-06-20,2358.350098,2358.350098,2424,2342,2397.800049,415043
25-06-20,2305.550049,2305.550049,2348.699951,2298.100098,2348,483160
26-06-20,2294.399902,2294.399902,2337.850098,2290,2329.699951,203486
29-06-20,2290.949951,2290.949951,2334.699951,2274,2294.399902,234393
30-06-20,2317.149902,2317.149902,2332.5,2288,2314.699951,381887
01-07-20,2289.350098,2289.350098,2327,2285,2325,230024
02-07-20,2295.5,2295.5,2325,2285,2302,412068
03-07-20,2290.149902,2290.149902,2309.949951,2276.050049,2305,369911
06-07-20,2323,2323,2355,2296,2296,408514
07-07-20,2361.699951,2361.699951,2381,2305,2313.100098,412834
08-07-20,2319.550049,2319.550049,2385.300049,2300.449951,2385,491063
09-07-20,2320.350098,2320.350098,2364,2309,2329.699951,266580
10-07-20,2322.699951,2322.699951,2342.050049,2306.649902,2328.699951,275115
13-07-20,2233.949951,2233.949951,2304.949951,2180,2210.050049,1754087
14-07-20,2154.850098,2154.850098,2220,2148,2215,841367
15-07-20,2146.350098,2146.350098,2195,2135,2170,540211
16-07-20,2007.050049,2007.050049,2149.699951,1980,2145,3722941
17-07-20,1989.75,1989.75,2019.800049,1955,2000,3878183
20-07-20,2019,2019,2039,1968,1979.900024,1556361
21-07-20,2040.800049,2040.800049,2054.899902,2021.050049,2035,717336
